Despachos Decisões e Sentenças
Disponibilizar relatório CSV para Despachos Decisões e Sentenças

Data Início (dd/mm/yyyy): 01/12/2017
Data Fim (dd/mm/yyyy): 02/12/2017

Total de registros: 4603
Relatório gerado em  31/01/2018 15:19:46

tipo mov;Descricao TUMP;Orgao Julgador;Processo;Data Movimentacao;Juiz;
Decisão;Sem efeito suspensivo;14º Juizado Especial Cível e das Relações de Consumo da Capital - Turno Tarde - 13:00h às 19:00h;0023868-04.2017.8.17.8201;01/12/2017;FELIPPE AUGUSTO GEMIR GUIMARAES;
Decisão;Bloqueio/penhora on line;14º Juizado Especial Cível e das Relações de Consumo da Capital - Turno Tarde - 13:00h às 19:00h;0013894-74.2016.8.17.8201;01/12/2017;FELIPPE AUGUSTO GEMIR GUIMARAES;
Decisão;Antecipação de tutela;14º Juizado Especial Cível e das Relações de Consumo da Capital - Turno Tarde - 13:00h às 19:00h;0048293-95.2017.8.17.8201;02/12/2017;FELIPPE AUGUSTO GEMIR GUIMARAES;
Decisão;Determinação de arquivamento de procedimentos investigatórios;14º Juizado Especial Cível e das Relações de Consumo da Capital - Turno Tarde - 13:00h às 19:00h;0008290-98.2017.8.17.8201;02/12/2017;FELIPPE AUGUSTO GEMIR GUIMARAES;
Decisão;Bloqueio/penhora on line;14º Juizado Especial Cível e das Relações de Consumo da Capital - Turno Tarde - 13:00h às 19:00h;0004960-93.2017.8.17.8201;01/12/2017;FELIPPE AUGUSTO GEMIR GUIMARAES;
Decisão;Antecipação de tutela;15º Juizado Especial Cível e das Relações de Consumo da Capital - Turno Tarde - 13:00h às 19:00h;0048299-05.2017.8.17.8201;01/12/2017;LUCIANA FERREIRA DE ARAUJO MAGALHAES;
Decisão;Antecipação de tutela;15º Juizado Especial Cível e das Relações de Consumo da Capital - Turno Tarde - 13:00h às 19:00h;0048153-61.2017.8.17.8201;01/12/2017;LUCIANA FERREIRA DE ARAUJO MAGALHAES;
Decisão;Antecipação de tutela;16º Juizado Especial Cível e das Relações de Consumo da Capital - Turno Manhã - 07:00h às 13:00h;0047333-42.2017.8.17.8201;01/12/2017;MARIA BETANIA BELTRAO GONDIM;
Decisão;Antecipação de tutela;16º Juizado Especial Cível e das Relações de Consumo da Capital - Turno Manhã - 07:00h às 13:00h;0048198-65.2017.8.17.8201;01/12/2017;MARIA BETANIA BELTRAO GONDIM;
Decisão;Antecipação de tutela;16º Juizado Especial Cível e das Relações de Consumo da Capital - Turno Manhã - 07:00h às 13:00h;0048087-81.2017.8.17.8201;01/12/2017;MARIA BETANIA BELTRAO GONDIM;
Decisão;Antecipação de tutela;17º Juizado Especial Cível e das Relações de Consumo da Capital - Turno Tarde - 13:00h às 19:00h;0045316-33.2017.8.17.8201;01/12/2017;JOAO ISMAEL DO NASCIMENTO FILHO;
Decisão;Antecipação de tutela;17º Juizado Especial Cível e das Relações de Consumo da Capital - Turno Tarde - 13:00h às 19:00h;0044269-24.2017.8.17.8201;01/12/2017;JOAO ISMAEL DO NASCIMENTO FILHO;
Decisão;Antecipação de tutela;17º Juizado Especial Cível e das Relações de Consumo da Capital - Turno Tarde - 13:00h às 19:00h;0046699-46.2017.8.17.8201;01/12/2017;JOAO ISMAEL DO NASCIMENTO FILHO;
Decisão;Antecipação de tutela;17º Juizado Especial Cível e das Relações de Consumo da Capital - Turno Tarde - 13:00h às 19:00h;0047385-38.2017.8.17.8201;01/12/2017;JOAO ISMAEL DO NASCIMENTO FILHO;
Decisão;Antecipação de tutela;17º Juizado Especial Cível e das Relações de Consumo da Capital - Turno Tarde - 13:00h às 19:00h;0044992-43.2017.8.17.8201;01/12/2017;JOAO ISMAEL DO NASCIMENTO FILHO;
Decisão;Antecipação de tutela;17º Juizado Especial Cível e das Relações de Consumo da Capital - Turno Tarde - 13:00h às 19:00h;0044414-80.2017.8.17.8201;01/12/2017;JOAO ISMAEL DO NASCIMENTO FILHO;
Decisão;Antecipação de tutela;17º Juizado Especial Cível e das Relações de Consumo da Capital - Turno Tarde - 13:00h às 19:00h;0047187-98.2017.8.17.8201;01/12/2017;JOAO ISMAEL DO NASCIMENTO FILHO;
Decisão;Antecipação de tutela;17º Juizado Especial Cível e das Relações de Consumo da Capital - Turno Tarde - 13:00h às 19:00h;0047402-74.2017.8.17.8201;01/12/2017;JOAO ISMAEL DO NASCIMENTO FILHO;
Decisão;Antecipação de tutela;17º Juizado Especial Cível e das Relações de Consumo da Capital - Turno Tarde - 13:00h às 19:00h;0046661-34.2017.8.17.8201;01/12/2017;JOAO ISMAEL DO NASCIMENTO FILHO;
Decisão;Antecipação de tutela;17º Juizado Especial Cível e das Relações de Consumo da Capital - Turno Tarde - 13:00h às 19:00h;0044516-05.2017.8.17.8201;01/12/2017;JOAO ISMAEL DO NASCIMENTO FILHO;
Decisão;Antecipação de tutela;17º Juizado Especial Cível e das Relações de Consumo da Capital - Turno Tarde - 13:00h às 19:00h;0045456-67.2017.8.17.8201;01/12/2017;JOAO ISMAEL DO NASCIMENTO FILHO;
Decisão;Antecipação de tutela;17º Juizado Especial Cível e das Relações de Consumo da Capital - Turno Tarde - 13:00h às 19:00h;0046097-55.2017.8.17.8201;01/12/2017;JOAO ISMAEL DO NASCIMENTO FILHO;
Decisão;Antecipação de tutela;17º Juizado Especial Cível e das Relações de Consumo da Capital - Turno Tarde - 13:00h às 19:00h;0044314-28.2017.8.17.8201;01/12/2017;JOAO ISMAEL DO NASCIMENTO FILHO;
Decisão;Incompetência;18º Juizado Especial Cível e das Relações de Consumo da Capital - Turno Tarde - 13:00h às 19:00h;0009271-30.2017.8.17.8201;01/12/2017;NILDO NERY DOS SANTOS FILHO;
Decisão;Antecipação de tutela;18º Juizado Especial Cível e das Relações de Consumo da Capital - Turno Tarde - 13:00h às 19:00h;0048216-86.2017.8.17.8201;01/12/2017;AUZIENIO DE CARVALHO CAVALCANTI;
Decisão;Convenção das Partes;1ª Vara Cível da Comarca Vitória Santo Antão;0003024-29.2016.8.17.3590;01/12/2017;MARIA BETANIA MARTINS DA HORA ROCHA;
Decisão;Recurso Extraordinário com repercussão geral;1ª Vara Cível da Comarca Vitória Santo Antão;0002961-67.2017.8.17.3590;01/12/2017;MARIA BETANIA MARTINS DA HORA ROCHA;
Decisão;Convenção das Partes;1ª Vara Cível da Comarca Vitória Santo Antão;0003483-31.2016.8.17.3590;01/12/2017;MARIA BETANIA MARTINS DA HORA ROCHA;
Decisão;Convenção das Partes;1ª Vara Cível da Comarca Vitória Santo Antão;0000379-31.2016.8.17.3590;01/12/2017;MARIA BETANIA MARTINS DA HORA ROCHA;
Decisão;Convenção das Partes;1ª Vara Cível da Comarca Vitória Santo Antão;0008855-58.2016.8.17.3590;01/12/2017;MARIA BETANIA MARTINS DA HORA ROCHA;
Decisão;Convenção das Partes;1ª Vara Cível da Comarca Vitória Santo Antão;0002698-69.2016.8.17.3590;01/12/2017;MARIA BETANIA MARTINS DA HORA ROCHA;
Decisão;Antecipação de tutela;1ª Vara Cível da Comarca Vitória Santo Antão;0000476-94.2017.8.17.3590;01/12/2017;MARIA BETANIA MARTINS DA HORA ROCHA;
Decisão;Convenção das Partes;1ª Vara Cível da Comarca Vitória Santo Antão;0003383-76.2016.8.17.3590;01/12/2017;MARIA BETANIA MARTINS DA HORA ROCHA;
Decisão;Convenção das Partes;1ª Vara Cível da Comarca Vitória Santo Antão;0003292-83.2016.8.17.3590;01/12/2017;MARIA BETANIA MARTINS DA HORA ROCHA;
Decisão;Convenção das Partes;1ª Vara Cível da Comarca Vitória Santo Antão;0003372-47.2016.8.17.3590;01/12/2017;MARIA BETANIA MARTINS DA HORA ROCHA;
Decisão;Convenção das Partes;1ª Vara Cível da Comarca Vitória Santo Antão;0003573-39.2016.8.17.3590;01/12/2017;MARIA BETANIA MARTINS DA HORA ROCHA;
Decisão;Convenção das Partes;1ª Vara Cível da Comarca Vitória Santo Antão;0003593-30.2016.8.17.3590;01/12/2017;MARIA BETANIA MARTINS DA HORA ROCHA;
Decisão;Convenção das Partes;1ª Vara Cível da Comarca Vitória Santo Antão;0003995-14.2016.8.17.3590;01/12/2017;MARIA BETANIA MARTINS DA HORA ROCHA;
Decisão;Convenção das Partes;1ª Vara Cível da Comarca Vitória Santo Antão;0001635-72.2017.8.17.3590;01/12/2017;MARIA BETANIA MARTINS DA HORA ROCHA;
Decisão;Convenção das Partes;1ª Vara Cível da Comarca Vitória Santo Antão;0004173-60.2016.8.17.3590;01/12/2017;MARIA BETANIA MARTINS DA HORA ROCHA;
Decisão;Convenção das Partes;1ª Vara Cível da Comarca Vitória Santo Antão;0003095-31.2016.8.17.3590;01/12/2017;MARIA BETANIA MARTINS DA HORA ROCHA;
Decisão;Recurso Extraordinário com repercussão geral;1ª Vara Cível da Comarca Vitória Santo Antão;0002784-06.2017.8.17.3590;01/12/2017;MARIA BETANIA MARTINS DA HORA ROCHA;
Decisão;Convenção das Partes;1ª Vara Cível da Comarca Vitória Santo Antão;0003472-02.2016.8.17.3590;01/12/2017;MARIA BETANIA MARTINS DA HORA ROCHA;
Decisão;Convenção das Partes;1ª Vara Cível da Comarca Vitória Santo Antão;0003312-74.2016.8.17.3590;01/12/2017;MARIA BETANIA MARTINS DA HORA ROCHA;
Decisão;Convenção das Partes;1ª Vara Cível da Comarca Vitória Santo Antão;0004502-72.2016.8.17.3590;01/12/2017;MARIA BETANIA MARTINS DA HORA ROCHA;
Decisão;Convenção das Partes;1ª Vara Cível da Comarca Vitória Santo Antão;0008963-87.2016.8.17.3590;01/12/2017;MARIA BETANIA MARTINS DA HORA ROCHA;
Decisão;Convenção das Partes;1ª Vara Cível da Comarca Vitória Santo Antão;0003342-12.2016.8.17.3590;01/12/2017;MARIA BETANIA MARTINS DA HORA ROCHA;
Decisão;Convenção das Partes;1ª Vara Cível da Comarca Vitória Santo Antão;0004582-36.2016.8.17.3590;01/12/2017;MARIA BETANIA MARTINS DA HORA ROCHA;
Decisão;Convenção das Partes;1ª Vara Cível da Comarca Vitória Santo Antão;0003234-80.2016.8.17.3590;01/12/2017;MARIA BETANIA MARTINS DA HORA ROCHA;
Decisão;Convenção das Partes;1ª Vara Cível da Comarca Vitória Santo Antão;0003164-63.2016.8.17.3590;01/12/2017;MARIA BETANIA MARTINS DA HORA ROCHA;
Decisão;Convenção das Partes;1ª Vara Cível da Comarca Vitória Santo Antão;0003663-47.2016.8.17.3590;01/12/2017;MARIA BETANIA MARTINS DA HORA ROCHA;
Decisão;Convenção das Partes;1ª Vara Cível da Comarca Vitória Santo Antão;0004592-80.2016.8.17.3590;01/12/2017;MARIA BETANIA MARTINS DA HORA ROCHA;
Decisão;Convenção das Partes;1ª Vara Cível da Comarca Vitória Santo Antão;0004162-31.2016.8.17.3590;01/12/2017;MARIA BETANIA MARTINS DA HORA ROCHA;
Decisão;Convenção das Partes para Cumprimento Voluntário da obrigação;1ª Vara Cível da Comarca Vitória Santo Antão;0000216-51.2016.8.17.3590;01/12/2017;MARIA BETANIA MARTINS DA HORA ROCHA;
Decisão;Liminar;1ª Vara Cível da Comarca Vitória Santo Antão;0002629-03.2017.8.17.3590;01/12/2017;MARIA BETANIA MARTINS DA HORA ROCHA;
Decisão;Convenção das Partes;1ª Vara Cível da Comarca Vitória Santo Antão;0004493-13.2016.8.17.3590;01/12/2017;MARIA BETANIA MARTINS DA HORA ROCHA;
Decisão;Convenção das Partes;1ª Vara Cível da Comarca Vitória Santo Antão;0004323-41.2016.8.17.3590;01/12/2017;MARIA BETANIA MARTINS DA HORA ROCHA;
Decisão;Convenção das Partes;1ª Vara Cível da Comarca Vitória Santo Antão;0009712-07.2016.8.17.3590;01/12/2017;MARIA BETANIA MARTINS DA HORA ROCHA;
Decisão;Convenção das Partes;1ª Vara Cível da Comarca Vitória Santo Antão;0002885-77.2016.8.17.3590;01/12/2017;MARIA BETANIA MARTINS DA HORA ROCHA;
Decisão;Convenção das Partes;1ª Vara Cível da Comarca Vitória Santo Antão;0004989-42.2016.8.17.3590;01/12/2017;MARIA BETANIA MARTINS DA HORA ROCHA;
Decisão;Convenção das Partes;1ª Vara Cível da Comarca Vitória Santo Antão;0004776-36.2016.8.17.3590;01/12/2017;MARIA BETANIA MARTINS DA HORA ROCHA;
Decisão;Convenção das Partes;1ª Vara Cível da Comarca Vitória Santo Antão;0003492-90.2016.8.17.3590;01/12/2017;MARIA BETANIA MARTINS DA HORA ROCHA;
Decisão;Convenção das Partes;1ª Vara Cível da Comarca Vitória Santo Antão;0006184-62.2016.8.17.3590;01/12/2017;MARIA BETANIA MARTINS DA HORA ROCHA;
Decisão;Convenção das Partes;1ª Vara Cível da Comarca Vitória Santo Antão;0005705-69.2016.8.17.3590;01/12/2017;MARIA BETANIA MARTINS DA HORA ROCHA;
Decisão;Convenção das Partes;1ª Vara Cível da Comarca Vitória Santo Antão;0008933-52.2016.8.17.3590;01/12/2017;MARIA BETANIA MARTINS DA HORA ROCHA;
Decisão;Convenção das Partes;1ª Vara Cível da Comarca Vitória Santo Antão;0004677-66.2016.8.17.3590;01/12/2017;MARIA BETANIA MARTINS DA HORA ROCHA;
Decisão;Convenção das Partes;1ª Vara Cível da Comarca Vitória Santo Antão;0004216-94.2016.8.17.3590;01/12/2017;MARIA BETANIA MARTINS DA HORA ROCHA;
Decisão;Convenção das Partes;1ª Vara Cível da Comarca Vitória Santo Antão;0005742-96.2016.8.17.3590;01/12/2017;MARIA BETANIA MARTINS DA HORA ROCHA;
Decisão;Convenção das Partes;1ª Vara Cível da Comarca Vitória Santo Antão;0003244-27.2016.8.17.3590;01/12/2017;MARIA BETANIA MARTINS DA HORA ROCHA;
Decisão;Convenção das Partes;1ª Vara Cível da Comarca Vitória Santo Antão;0007713-19.2016.8.17.3590;01/12/2017;MARIA BETANIA MARTINS DA HORA ROCHA;
Decisão;Convenção das Partes;1ª Vara Cível da Comarca Vitória Santo Antão;0004283-59.2016.8.17.3590;01/12/2017;MARIA BETANIA MARTINS DA HORA ROCHA;
Decisão;Convenção das Partes;1ª Vara Cível da Comarca Vitória Santo Antão;0008579-27.2016.8.17.3590;01/12/2017;MARIA BETANIA MARTINS DA HORA ROCHA;
Decisão;Convenção das Partes;1ª Vara Cível da Comarca Vitória Santo Antão;0006597-75.2016.8.17.3590;01/12/2017;MARIA BETANIA MARTINS DA HORA ROCHA;
Decisão;Convenção das Partes;1ª Vara Cível da Comarca Vitória Santo Antão;0003333-50.2016.8.17.3590;01/12/2017;MARIA BETANIA MARTINS DA HORA ROCHA;
Decisão;Convenção das Partes;1ª Vara Cível da Comarca Vitória Santo Antão;0003263-33.2016.8.17.3590;01/12/2017;MARIA BETANIA MARTINS DA HORA ROCHA;
Decisão;Convenção das Partes;1ª Vara Cível da Comarca Vitória Santo Antão;0004802-34.2016.8.17.3590;01/12/2017;MARIA BETANIA MARTINS DA HORA ROCHA;
Decisão;Convenção das Partes;1ª Vara Cível da Comarca Vitória Santo Antão;0004202-13.2016.8.17.3590;01/12/2017;MARIA BETANIA MARTINS DA HORA ROCHA;
Decisão;Liminar;1ª Vara Cível da Comarca Vitória Santo Antão;0002946-98.2017.8.17.3590;01/12/2017;MARIA BETANIA MARTINS DA HORA ROCHA;
Decisão;Convenção das Partes;1ª Vara Cível da Comarca Vitória Santo Antão;0004452-46.2016.8.17.3590;01/12/2017;MARIA BETANIA MARTINS DA HORA ROCHA;
Decisão;Convenção das Partes;1ª Vara Cível da Comarca Vitória Santo Antão;0003743-11.2016.8.17.3590;01/12/2017;MARIA BETANIA MARTINS DA HORA ROCHA;
Decisão;Convenção das Partes;1ª Vara Cível da Comarca Vitória Santo Antão;0003772-61.2016.8.17.3590;01/12/2017;MARIA BETANIA MARTINS DA HORA ROCHA;
Decisão;Convenção das Partes;1ª Vara Cível da Comarca Vitória Santo Antão;0006912-06.2016.8.17.3590;01/12/2017;MARIA BETANIA MARTINS DA HORA ROCHA;
Decisão;Convenção das Partes;1ª Vara Cível da Comarca Vitória Santo Antão;0002895-87.2017.8.17.3590;01/12/2017;MARIA BETANIA MARTINS DA HORA ROCHA;
Decisão;Convenção das Partes;1ª Vara Cível da Comarca Vitória Santo Antão;0003673-91.2016.8.17.3590;01/12/2017;MARIA BETANIA MARTINS DA HORA ROCHA;
Decisão;Convenção das Partes;1ª Vara Cível da Comarca Vitória Santo Antão;0009503-38.2016.8.17.3590;01/12/2017;MARIA BETANIA MARTINS DA HORA ROCHA;
Decisão;Convenção das Partes;1ª Vara Cível da Comarca Vitória Santo Antão;0007532-18.2016.8.17.3590;01/12/2017;MARIA BETANIA MARTINS DA HORA ROCHA;
Decisão;Convenção das Partes;1ª Vara Cível da Comarca Vitória Santo Antão;0003962-24.2016.8.17.3590;01/12/2017;MARIA BETANIA MARTINS DA HORA ROCHA;
Decisão;Convenção das Partes;1ª Vara Cível da Comarca Vitória Santo Antão;0003652-18.2016.8.17.3590;01/12/2017;MARIA BETANIA MARTINS DA HORA ROCHA;
Decisão;Liminar;1ª Vara Cível da Comarca Vitória Santo Antão;0002681-96.2017.8.17.3590;01/12/2017;MARIA BETANIA MARTINS DA HORA ROCHA;
Decisão;Convenção das Partes;1ª Vara Cível da Comarca Vitória Santo Antão;0009523-29.2016.8.17.3590;01/12/2017;MARIA BETANIA MARTINS DA HORA ROCHA;
Decisão;Convenção das Partes;1ª Vara Cível da Comarca Vitória Santo Antão;0007513-12.2016.8.17.3590;01/12/2017;MARIA BETANIA MARTINS DA HORA ROCHA;
Decisão;Convenção das Partes;1ª Vara Cível da Comarca Vitória Santo Antão;0005230-16.2016.8.17.3590;01/12/2017;MARIA BETANIA MARTINS DA HORA ROCHA;
Decisão;Convenção das Partes;1ª Vara Cível da Comarca Vitória Santo Antão;0003712-88.2016.8.17.3590;01/12/2017;MARIA BETANIA MARTINS DA HORA ROCHA;
Decisão;Convenção das Partes;1ª Vara Cível da Comarca Vitória Santo Antão;0003484-16.2016.8.17.3590;01/12/2017;MARIA BETANIA MARTINS DA HORA ROCHA;
Decisão;Convenção das Partes;1ª Vara Cível da Comarca Vitória Santo Antão;0003703-29.2016.8.17.3590;01/12/2017;MARIA BETANIA MARTINS DA HORA ROCHA;
Decisão;Convenção das Partes;1ª Vara Cível da Comarca Vitória Santo Antão;0003672-09.2016.8.17.3590;01/12/2017;MARIA BETANIA MARTINS DA HORA ROCHA;
Decisão;Liminar;1ª Vara Cível da Comarca Vitória Santo Antão;0002778-96.2017.8.17.3590;01/12/2017;MARIA BETANIA MARTINS DA HORA ROCHA;
Decisão;Convenção das Partes;1ª Vara Cível da Comarca Vitória Santo Antão;0007592-88.2016.8.17.3590;01/12/2017;MARIA BETANIA MARTINS DA HORA ROCHA;
Decisão;Antecipação de tutela;1ª Vara Cível da Comarca Vitória Santo Antão;0002663-75.2017.8.17.3590;01/12/2017;MARIA BETANIA MARTINS DA HORA ROCHA;
Decisão;Convenção das Partes;1ª Vara Cível da Comarca Vitória Santo Antão;0008531-68.2016.8.17.3590;01/12/2017;MARIA BETANIA MARTINS DA HORA ROCHA;
Decisão;Convenção das Partes;1ª Vara Cível da Comarca Vitória Santo Antão;0004004-73.2016.8.17.3590;01/12/2017;MARIA BETANIA MARTINS DA HORA ROCHA;
Decisão;Convenção das Partes;1ª Vara Cível da Comarca Vitória Santo Antão;0007712-34.2016.8.17.3590;01/12/2017;MARIA BETANIA MARTINS DA HORA ROCHA;
Decisão;Convenção das Partes;1ª Vara Cível da Comarca Vitória Santo Antão;0004813-63.2016.8.17.3590;01/12/2017;MARIA BETANIA MARTINS DA HORA ROCHA;
Decisão;Convenção das Partes;1ª Vara Cível da Comarca Vitória Santo Antão;0003742-26.2016.8.17.3590;01/12/2017;MARIA BETANIA MARTINS DA HORA ROCHA;
Decisão;Convenção das Partes;1ª Vara Cível da Comarca Vitória Santo Antão;0003493-75.2016.8.17.3590;01/12/2017;MARIA BETANIA MARTINS DA HORA ROCHA;
Decisão;Convenção das Partes;1ª Vara Cível da Comarca Vitória Santo Antão;0003115-22.2016.8.17.3590;01/12/2017;MARIA BETANIA MARTINS DA HORA ROCHA;
Decisão;Convenção das Partes;1ª Vara Cível da Comarca Vitória Santo Antão;0008952-58.2016.8.17.3590;01/12/2017;MARIA BETANIA MARTINS DA HORA ROCHA;
Decisão;Convenção das Partes;1ª Vara Cível da Comarca Vitória Santo Antão;0003353-41.2016.8.17.3590;01/12/2017;MARIA BETANIA MARTINS DA HORA ROCHA;
Decisão;Convenção das Partes;1ª Vara Cível da Comarca Vitória Santo Antão;0006041-73.2016.8.17.3590;01/12/2017;MARIA BETANIA MARTINS DA HORA ROCHA;
Decisão;Convenção das Partes;1ª Vara Cível da Comarca Vitória Santo Antão;0004511-34.2016.8.17.3590;01/12/2017;MARIA BETANIA MARTINS DA HORA ROCHA;
Decisão;Convenção das Partes;1ª Vara Cível da Comarca Vitória Santo Antão;0008613-02.2016.8.17.3590;01/12/2017;MARIA BETANIA MARTINS DA HORA ROCHA;
Decisão;Convenção das Partes;1ª Vara Cível da Comarca Vitória Santo Antão;0003533-57.2016.8.17.3590;01/12/2017;MARIA BETANIA MARTINS DA HORA ROCHA;
Decisão;Convenção das Partes;1ª Vara Cível da Comarca Vitória Santo Antão;0003542-19.2016.8.17.3590;01/12/2017;MARIA BETANIA MARTINS DA HORA ROCHA;
Decisão;Convenção das Partes;1ª Vara Cível da Comarca Vitória Santo Antão;0003552-63.2016.8.17.3590;01/12/2017;MARIA BETANIA MARTINS DA HORA ROCHA;
Decisão;Convenção das Partes;1ª Vara Cível da Comarca Vitória Santo Antão;0004443-84.2016.8.17.3590;01/12/2017;MARIA BETANIA MARTINS DA HORA ROCHA;
Decisão;Liminar;1ª Vara Cível da Comarca Vitória Santo Antão;0002814-41.2017.8.17.3590;01/12/2017;MARIA BETANIA MARTINS DA HORA ROCHA;
Decisão;Convenção das Partes;1ª Vara Cível da Comarca Vitória Santo Antão;0004303-50.2016.8.17.3590;01/12/2017;MARIA BETANIA MARTINS DA HORA ROCHA;
Decisão;Por decisão judicial;1ª Vara Cível da Comarca Vitória Santo Antão;0002654-16.2017.8.17.3590;01/12/2017;MARIA BETANIA MARTINS DA HORA ROCHA;
Decisão;Recurso Extraordinário com repercussão geral;1ª Vara Cível da Comarca Vitória Santo Antão;0002769-37.2017.8.17.3590;01/12/2017;MARIA BETANIA MARTINS DA HORA ROCHA;
Decisão;Convenção das Partes;1ª Vara Cível da Comarca Vitória Santo Antão;0004302-65.2016.8.17.3590;01/12/2017;MARIA BETANIA MARTINS DA HORA ROCHA;
